,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
0,2023-06-30 10:15:00.607045,2023-06-30 11:39:00.684644,NIFTY06JUL2319050PE,66.1,57.35,50,-1,437.49999999999966,shift straddle upward
1,2023-06-30 10:15:00.607045,2023-06-30 11:39:00.684644,NIFTY06JUL2319050CE,121.05,131.35,50,-1,-514.9999999999999,shift straddle upward
2,2023-06-30 10:15:00.607045,2023-06-30 13:27:00.286643,NIFTY06JUL2319100PE,86.5,63.7,50,-1,1139.9999999999998,shift straddle upward
3,2023-06-30 10:15:00.607045,2023-06-30 13:27:00.286643,NIFTY06JUL2319100CE,91.2,121.15,50,-1,-1497.5000000000002,shift straddle upward
4,2023-06-30 13:27:00.286643,2023-06-30 13:39:00.505333,NIFTY06JUL2319200PE,107.95,114.15,50,-1,-310.0000000000001,shift straddle downward
5,2023-06-30 13:27:00.286643,2023-06-30 13:39:00.505333,NIFTY06JUL2319200CE,65.95,62.6,50,-1,167.50000000000006,shift straddle downward
6,2023-06-30 13:39:00.505333,2023-06-30 13:57:00.480736,NIFTY06JUL2319100PE,67.25,62.85,50,-1,219.99999999999994,shift straddle upward
7,2023-06-30 13:39:00.505333,2023-06-30 13:57:00.480736,NIFTY06JUL2319100CE,116.2,121.25,50,-1,-252.49999999999986,shift straddle upward
8,2023-06-30 13:57:00.480736,2023-06-30 14:07:00.528354,NIFTY06JUL2319200PE,107.4,113.0,50,-1,-279.9999999999997,shift straddle downward
9,2023-06-30 13:57:00.480736,2023-06-30 14:07:00.528354,NIFTY06JUL2319200CE,65.6,61.35,50,-1,212.49999999999966,shift straddle downward
10,2023-06-30 14:07:00.528354,2023-06-30 14:29:00.629378,NIFTY06JUL2319100PE,66.6,61.9,50,-1,234.99999999999977,shift straddle upward
11,2023-06-30 14:07:00.528354,2023-06-30 14:29:00.629378,NIFTY06JUL2319100CE,114.55,118.95,50,-1,-220.00000000000028,shift straddle upward
12,2023-06-30 11:39:00.684644,2023-06-30 15:01:00.418168,NIFTY06JUL2319150PE,97.65,73.6,50,-1,1202.5000000000005,expiry over
13,2023-06-30 11:39:00.684644,2023-06-30 15:01:00.418168,NIFTY06JUL2319150CE,73.4,95.75,50,-1,-1117.4999999999998,expiry over
14,2023-06-30 14:29:00.629378,2023-06-30 15:01:00.418168,NIFTY06JUL2319200PE,106.4,96.6,50,-1,490.00000000000057,expiry over
15,2023-06-30 14:29:00.629378,2023-06-30 15:01:00.418168,NIFTY06JUL2319200CE,63.6,68.45,50,-1,-242.50000000000006,expiry over
