,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
0,2023-06-15 09:24:00.599718,2023-06-15 09:46:00.786512,NIFTY15JUN2318700PE,20.6,10.1,50,-1,525.0000000000001,shift straddle upward
1,2023-06-15 09:24:00.599718,2023-06-15 09:46:00.786512,NIFTY15JUN2318700CE,49.1,69.25,50,-1,-1007.4999999999999,shift straddle upward
2,2023-06-15 09:46:00.786512,2023-06-15 11:22:00.733054,NIFTY15JUN2318800PE,52.4,69.45,50,-1,-852.5000000000002,shift straddle downward
3,2023-06-15 09:46:00.786512,2023-06-15 11:22:00.733054,NIFTY15JUN2318800CE,12.4,7.25,50,-1,257.5,shift straddle downward
4,2023-06-15 09:24:00.599718,2023-06-15 14:37:00.302182,NIFTY15JUN2318750PE,43.1,69.65,50,-1,-1327.5000000000002,shift straddle downward
5,2023-06-15 09:24:00.599718,2023-06-15 14:37:00.302182,NIFTY15JUN2318750CE,21.85,2.35,50,-1,975.0,shift straddle downward
