,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
0,2023-07-06 09:30:00.482627,2023-07-06 09:34:00.141954,NIFTY06JUL2319450PE,70.4,80.2,50,-1,-489.9999999999999,shift straddle downward
1,2023-07-06 09:30:00.482627,2023-07-06 09:34:00.141954,NIFTY06JUL2319450CE,27.75,20.3,50,-1,372.49999999999994,shift straddle downward
2,2023-07-06 09:34:00.141954,2023-07-06 09:40:00.473782,NIFTY06JUL2319350PE,27.45,24.2,50,-1,162.5,shift straddle upward
3,2023-07-06 09:34:00.141954,2023-07-06 09:40:00.473782,NIFTY06JUL2319350CE,68.0,73.25,50,-1,-262.5,shift straddle upward
4,2023-07-06 09:30:00.482627,2023-07-06 10:26:00.153918,NIFTY06JUL2319400PE,42.55,22.55,50,-1,999.9999999999998,shift straddle upward
5,2023-07-06 09:30:00.482627,2023-07-06 10:26:00.153918,NIFTY06JUL2319400CE,49.6,77.75,50,-1,-1407.5,shift straddle upward
6,2023-07-06 10:26:00.153918,2023-07-06 10:41:00.639983,NIFTY06JUL2319500PE,69.0,77.2,50,-1,-410.0000000000001,shift straddle downward
7,2023-07-06 10:26:00.153918,2023-07-06 10:41:00.639983,NIFTY06JUL2319500CE,24.0,17.85,50,-1,307.49999999999994,shift straddle downward
8,2023-07-06 10:41:00.639983,2023-07-06 11:00:00.218369,NIFTY06JUL2319400PE,25.4,19.4,50,-1,300.0,shift straddle upward
9,2023-07-06 10:41:00.639983,2023-07-06 11:00:00.218369,NIFTY06JUL2319400CE,65.3,74.7,50,-1,-470.0000000000003,shift straddle upward
10,2023-07-06 11:00:00.218369,2023-07-06 12:40:00.622670,NIFTY06JUL2319500PE,65.7,72.8,50,-1,-354.9999999999997,shift straddle downward
11,2023-07-06 11:00:00.218369,2023-07-06 12:40:00.622670,NIFTY06JUL2319500CE,21.2,11.1,50,-1,505.0,shift straddle downward
12,2023-07-06 12:40:00.622670,2023-07-06 12:56:00.475919,NIFTY06JUL2319400PE,19.8,12.6,50,-1,360.00000000000006,shift straddle upward
13,2023-07-06 12:40:00.622670,2023-07-06 12:56:00.475919,NIFTY06JUL2319400CE,57.55,69.0,50,-1,-572.5000000000001,shift straddle upward
14,2023-07-06 12:56:00.475919,2023-07-06 13:21:00.703300,NIFTY06JUL2319500PE,59.45,68.0,50,-1,-427.4999999999999,shift straddle downward
15,2023-07-06 12:56:00.475919,2023-07-06 13:21:00.703300,NIFTY06JUL2319500CE,14.3,9.0,50,-1,265.00000000000006,shift straddle downward
16,2023-07-06 13:21:00.703300,2023-07-06 13:30:00.593065,NIFTY06JUL2319400PE,15.3,11.5,50,-1,190.00000000000003,shift straddle upward
17,2023-07-06 13:21:00.703300,2023-07-06 13:30:00.593065,NIFTY06JUL2319400CE,54.75,65.2,50,-1,-522.5000000000001,shift straddle upward
18,2023-07-06 13:30:00.593065,2023-07-06 13:41:00.635167,NIFTY06JUL2319500PE,57.65,64.35,50,-1,-334.9999999999998,shift straddle downward
19,2023-07-06 13:30:00.593065,2023-07-06 13:41:00.635167,NIFTY06JUL2319500CE,12.25,9.2,50,-1,152.50000000000003,shift straddle downward
20,2023-07-06 13:41:00.635167,2023-07-06 13:52:00.450240,NIFTY06JUL2319400PE,12.45,10.65,50,-1,89.99999999999994,shift straddle upward
21,2023-07-06 13:41:00.635167,2023-07-06 13:52:00.450240,NIFTY06JUL2319400CE,56.95,63.95,50,-1,-350.0,shift straddle upward
22,2023-07-06 13:52:00.450240,2023-07-06 13:57:00.363428,NIFTY06JUL2319500PE,58.1,64.8,50,-1,-334.9999999999998,shift straddle downward
23,2023-07-06 13:52:00.450240,2023-07-06 13:57:00.363428,NIFTY06JUL2319500CE,10.85,9.05,50,-1,89.99999999999994,shift straddle downward
24,2023-07-06 13:57:00.363428,2023-07-06 14:01:00.174236,NIFTY06JUL2319400PE,12.25,8.1,50,-1,207.50000000000003,shift straddle upward
25,2023-07-06 13:57:00.363428,2023-07-06 14:01:00.174236,NIFTY06JUL2319400CE,57.35,67.3,50,-1,-497.4999999999998,shift straddle upward
26,2023-07-06 09:40:00.473782,2023-07-06 15:15:00.503599,NIFTY06JUL2319450PE,73.2,0.1,50,-1,3655.0000000000005,shift straddle upward
27,2023-07-06 09:40:00.473782,2023-07-06 15:15:00.503599,NIFTY06JUL2319450CE,22.5,53.45,50,-1,-1547.5000000000002,shift straddle upward
28,2023-07-06 14:01:00.174236,2023-07-06 15:21:00.381817,NIFTY06JUL2319500PE,52.5,3.75,50,-1,2437.5,expiry over
29,2023-07-06 14:01:00.174236,2023-07-06 15:21:00.381817,NIFTY06JUL2319500CE,11.95,0.7,50,-1,562.5,expiry over
30,2023-07-06 15:15:00.503599,2023-07-06 15:21:00.381817,NIFTY06JUL2319550PE,45.9,53.15,50,-1,-362.5,expiry over
31,2023-07-06 15:15:00.503599,2023-07-06 15:21:00.381817,NIFTY06JUL2319550CE,0.15,0.05,50,-1,5.0,expiry over
